exp,r1_s1,r2_s1,r3_s1,avg_s1,std_s1,unit_s1,r1_s2,r2_s2,r3_s2,avg_s2,std_s2,unit_s2,
th_1,922.351,922.351,922.351,922.351,6.10352e-05,Mbps,,,,,,,
th_2,465.856,466.124,467.863,466.614,0.88987,Mbps,537.952,528.831,524.266,530.349,5.68979,Mbps,
th_3,922.351,922.351,922.351,922.351,6.10352e-05,Mbps,,,,,,,
th_4,464.881,464.66,463.621,464.387,0.549386,Mbps,535.656,511.646,540.216,529.172,12.5322,Mbps,
th_5,466.878,465.584,465.35,465.937,0.672198,Mbps,527.542,561.953,531.733,540.409,15.3296,Mbps,
afct_1,0.477692,0.477692,0.477692,0.477692,2.98023e-08,sec,,,,,,,
afct_2,0.942643,0.941985,0.93845,0.941026,0.00184116,sec,0.815719,0.829788,0.837015,0.827507,0.00884273,sec,
afct_3,0.477692,0.477692,0.477692,0.477692,2.98023e-08,sec,,,,,,,
afct_4,0.944565,0.944681,0.947175,0.945473,0.00120406,sec,0.819215,0.85766,0.812301,0.829725,0.0199537,sec,
afct_5,0.940456,0.943474,0.943581,0.942504,0.00144859,sec,0.831816,0.78088,0.82526,0.812652,0.0226252,sec,
